*	lang	ns	pageid	title
1473 км (платформа)	ru	0	1659802	1473 км (платформа)
14-я радиотехническая бригада ПВО Украины	ru	0	2150342	14-та радіотехнічна бригада (Україна)
1328 км (платформа)	ru	0	2192602	1328 км (зупинний пункт)
1334 км (платформа)	ru	0	2192610	1334 км (зупинний пункт)
136-я отдельная гвардейская мотострелковая бригада	ru	0	2209016	136-та окрема мотострілецька бригада (РФ)
Платформа 149 км (станция)	ru	0	1084741	149 км (зупинний пункт, Дніпровська дирекція Придніпровської залізниці)
184 км (платформа)	ru	0	1084755	184 км (платформа)
1479 км (платформа)	ru	0	1659809	1479 км (платформа)
1486 км (платформа)	ru	0	1659815	1486 км (платформа)
1501 км (платформа)	ru	0	1659818	1501 км (платформа)
1509 км (платформа)	ru	0	1659823	1509 км (зупинний пункт)
19 мая (стадион)	ru	0	850232	19 травня (стадіон)
20 Января (станция метро)	ru	0	1488822	20 Січня (станція метро)
2-й Бисеровский участок	ru	0	1640189	2-га Бісеровська дільниця-селище
Лохинский 2-й	ru	0	1917345	2-ге Лохинське селище
23 Августа (станция метро)	ru	0	580037	23 Серпня (станція метро)
28 Мая (станция метро)	ru	0	1489453	28 Травня (станція метро)
Бронебашенная батарея-30	ru	0	1059091	30-та берегова батарея
Бронебашенная батарея-35	ru	0	1059931	35-та берегова батарея
300 Арагвели (станция метро)	ru	0	1697442	300 Арагвелі (станція метро)
Музейный историко-мемориальный комплекс «35-я береговая батарея»	ru	0	2002892	35-та берегова батарея (музейно-меморіальний комплекс)
92-й истребительный авиационный полк (16 сад)	ru	0	1821760	40-ва бригада тактичної авіації (Україна)
42-я улица (Манхэттен)	ru	0	2115753	42-га вулиця (Нью-Йорк)
Подводные лодки проекта 629	ru	0	1419850	629А, 629Р, 605, 601, 619, (тип підводних човнів СРСР)
Граны (платформа)	ru	0	1033663	737 км (зупинний пункт)
77 км (остановочный пункт)	ru	0	1112880	77 км (платформа, Кривий Ріг)
79 км (остановочный пункт)	ru	0	1112887	79 км (зупинний пункт, Придніпровська залізниця)
Пункт материально-технического обеспечения ВМФ России в Сирии	ru	0	1362045	720-й пункт матеріально-технічного забезпечення ВМФ
Advanced Micro Devices	ru	0	28705	Advanced Micro Devices
Abee (метеорит)	ru	0	174961	Abee
Adams County (метеорит)	ru	0	175399	Adams County
Admire (метеорит)	ru	0	175400	Admire
Agen	ru	0	175405	Agen
Alfianello (метеорит)	ru	0	175408	Alfianello
AT&T-центр	ru	0	256388	AT&T Center
95-й квартал	ru	0	495751	95 квартал
Нокра (база)	ru	0	1572041	933-й пункт матеріально-технічного забезпечення ВМФ СРСР
Aixam-MEGA	ru	0	1799776	Aixam-MEGA
EKO Шталь	ru	0	2030570	ArcelorMittal Eisenhüttenstadt
Atlantis The Palm	ru	0	2294588	Atlantis The Palm
Баррандов (киностудия)	ru	0	2551779	Barrandov Studio
Citybanan	ru	0	2576261	Citybanan
Andalucia Tennis Experience	ru	0	2633040	Andalucia Tennis Experience
FAST	ru	0	1983380	FAST
Grand Lisboa	ru	0	2293526	Grand Lisboa
Dubai Mall	ru	0	2298193	Dubai Mall
Gedeon Richter	ru	0	2413727	Gedeon Richter
Gate Tower Building	ru	0	2468707	Gate Tower Building
Finavia	ru	0	2481877	Finavia
Constellation Place	ru	0	2616530	Constellation Place
HMS Glowworm (1935)	ru	0	2043304	HMS Glowworm (H92)
HMS Courageous (1916)	ru	0	2407383	HMS Courageous (50)
HMS Glorious (1916)	ru	0	2411183	HMS Glorious (77)
LHCb	ru	0	2157002	LHCb
Hotel Costes	ru	0	2160217	Hotel Costes
Krakatau Steel	ru	0	2236763	Krakatau Steel
Heat Shield Rock	ru	0	2269049	Heat Shield Rock (метеорит)
Let’s Encrypt	ru	0	2693286	Let’s Encrypt
MyHeritage	ru	0	1986751	MyHeritage
Magyar Suzuki	ru	0	2150862	Magyar Suzuki
MeerKAT	ru	0	2165275	MeerKAT
SLC-40	ru	0	2254789	SLC-40
Рогнер Бад-Блумау	ru	0	2280011	Rogner Bad Blumau
Океанские Вершины (Дубай)	ru	0	2294502	Ocean Heights
MGM Grand Garden Arena	ru	0	2363260	MGM Grand Garden Arena
Радио и телевидение Португалии	ru	0	2427566	Rádio e Televisão de Portugal
U-103 (1940)	ru	0	2015077	U-103 (1940)
U-104 (1940)	ru	0	2015122	U-104 (1940)
U-122 (1940)	ru	0	2015170	U-122 (1940)
U-157 (1941)	ru	0	2015235	U-157 (1941)
Technorama	ru	0	2292259	Technorama
U-217	ru	0	2369207	U-217
TRAPPIST	ru	0	2370371	TRAPPIST
Siam Park	ru	0	2571010	Siam Park
U-49 (1939)	ru	0	2249624	U-49 (1939)
U-527	ru	0	2371225	U-527
U-1229	ru	0	2371458	U-1229
U-402	ru	0	2383492	U-402
U-525	ru	0	2385197	U-525
U-117 (1941)	ru	0	2393819	U-117 (1941)
U-549	ru	0	2399574	U-549
U-378	ru	0	2400907	U-378
U-355	ru	0	2401152	U-355
U-288	ru	0	2401733	U-288
U-84 (1941)	ru	0	2408097	U-84 (1941)
U-67 (1940)	ru	0	2414387	U-67 (1940)
U-66 (1941)	ru	0	2436123	U-66 (1941)
U-860	ru	0	2536631	U-860
U-88 (1941)	ru	0	2541908	U-88 (1941)
U-456	ru	0	2544517	U-456
U-87 (1941)	ru	0	2544676	U-87 (1941)
U-544	ru	0	2545281	U-544
U-45 (1938)	ru	0	2549659	U-45 (1938)
U-301	ru	0	2663769	U-301
Индепенденс-фьорд	ru	0	2691976	Індепенденс (фіорд)
Истык	ru	0	2683112	Істик
Итякескус (торговый центр)	ru	0	2664176	Ітіс (торговий центр)
Иштыхан	ru	0	2665620	Іштихан
Абьяский район	ru	0	2699083	Аб'яський район
Кульбакино (аэродром)	ru	0	2664608	Аеродром Кульбакине
Акимиски	ru	0	2669276	Акіміски
Александр Малинов (станция метро)	ru	0	2674084	Александр Малінов (станція метро)
Альпийский зоопарк	ru	0	2692816	Альпійський зоопарк
Андрув	ru	0	2666201	Андрув (стадіон)
Арадаш	ru	0	2690593	Арадаш
Astana Opera	ru	0	2683958	Астана Опера
Ахья	ru	0	2697963	Ахья (річка)
Баласагун	ru	0	2685658	Баласагун
Бартува	ru	0	2689912	Бартува
Замок Бежа	ru	0	2672465	Безький замок
Бельведер 21	ru	0	2696660	Бельведер 21
Бёргефьель (национальный парк)	ru	0	2685941	Бергеф'єлл
Борден (остров)	ru	0	2679758	Борден (острів)
Боровское шоссе (станция метро)	ru	0	2686716	Боровське шосе (станція метро)
Будапештское гетто	ru	0	2695228	Будапештське гетто
Беговая (станция метро, Санкт-Петербург)	ru	0	2687437	Бігова (станція метро, Санкт-Петербург)
Белорусский государственный музей истории Великой Отечественной войны	ru	0	2692632	Білоруський державний музей історії Великої Вітчизняної війни
Чирки (Крым)	ru	0	2671288	Біюк-Сонак
Вера-Круш (Авейру)	ru	0	2690697	Вера-Круш (Авейру)
Верхние Лихоборы (станция метро)	ru	0	2670833	Верхні Лихобори (станція метро)
Волгоград Арена	ru	0	2697168	Волгоград Арена
Воронеж (радиолокационная станция)	ru	0	2698145	Воронеж (радіолокаційна станція)
Вшеспортовний	ru	0	2666311	Вшеспортовний
Вуосаари (станция метро)	ru	0	2666925	Вуосаарі (станція метро)
Вигала	ru	0	2698236	Вігала (річка)
Вирвите	ru	0	2690202	Вірвіча
Гавья	ru	0	2685886	Гав'я (притока Німану)
Хаканиеми (станция метро)	ru	0	2696218	Гаканіемі (станція метро)
Хельсинкский университет (станция метро)	ru	0	2696255	Гельсінський університет (станція метро)
Херттониеми (станция метро)	ru	0	2685464	Герттоніемі (станція метро)
Глория (Авейру)	ru	0	2690680	Глорія (Авейру)
Говорово (станция метро)	ru	0	2687030	Говорово (станція метро)
Гросс-Вальцерталь	ru	0	2698524	Гросс-Вальцерталь
Делюн-Болдок	ru	0	2685883	Делюн-Болдок
Доличек	ru	0	2665834	Долічек
Дустлик (Джизакская область)	ru	0	2664830	Дустлік (місто)
Дусан Арена	ru	0	2666205	Дусан Арена
Дюббёльская мельница	ru	0	2670144	Дюбельський млин
Эжгейра	ru	0	2690652	Ежгейра
Эйшу (Авейру)	ru	0	2690622	Ейшу
Эйрол	ru	0	2690634	Ейрол
Элва	ru	0	2691699	Елва
Эльваский район	ru	0	2692963	Елваський район
Жеймяна (река)	ru	0	2690734	Жеймена
Заказанка	ru	0	2687566	Заказанка
Софийский зал в Вене	ru	0	2696681	Зал Софії у Відні
Замок Мот-Шанденье	ru	0	2692233	Замок Мот-Шанденьє
Земля Георга	ru	0	2673387	Земля Георга
Каласатама (станция метро)	ru	0	2688203	Каласатама (станція метро)
Калининград (стадион)	ru	0	2697156	Калінінград (стадіон)
Замок Канде	ru	0	2692608	Канде (замок)
Карсон (река)	ru	0	2694436	Карсон (річка)
Касия	ru	0	2690602	Касія (Португалія)
Собор Альмудена	ru	0	2674043	Кафедральний собор де ла Альмудена
Кирлеутское озеро	ru	0	2674756	Кирлеуцьке озеро
Киятское озеро	ru	0	2674848	Кияцьке озеро
Кленовник	ru	0	2665020	Кленовнік (Хорватія)
Конгсберг	ru	0	2679111	Конгсберг
Контадора	ru	0	2668153	Контадора
Контула (станция метро)	ru	0	2670739	Контула (станція метро)
Кулосаари (станция метро)	ru	0	2673257	Кулосаарі (станція метро)
Куллавере	ru	0	2698798	Куллавере
Кунда (река)	ru	0	2699325	Кунда (річка)
Левуо	ru	0	2688842	Левуо
Лихоборы (электродепо)	ru	0	2670967	Лихобори (електродепо)
Лообу (река)	ru	0	2699066	Лообу
Мазар Козы Корпеш и Баян сулу	ru	0	2692250	Мазар Кози Корпеш і Баян Сулу
Маркус-Бейкер (гора)	ru	0	2697626	Маркус-Бейкер
Меллунмяки (станция метро)	ru	0	2670320	Меллунмякі (станція метро)
Мемеле	ru	0	2688533	Мемеле
Мяра	ru	0	2690946	Мера (річка)
Мышанка (река)	ru	0	2687206	Мишанка
Монсанту (Иданья-а-Нова)	ru	0	2693667	Монсанту (Іданя-а-Нова)
Мордовия Арена	ru	0	2697176	Мордовія Арена
Мюллюпуро (станция метро)	ru	0	2666646	Мюллюпуро (станція метро)
Городской стадион (Млада-Болеслав)	ru	0	2665844	Міський стадіон (Млада Болеслав)
Мичуринский проспект (станция метро, Калининско-Солнцевская линия)	ru	0	2687132	Мічурінський проспект (станція метро, Калінінська лінія)
Митува	ru	0	2689592	Мітува
На Стинадлех	ru	0	2665436	На Стінадлех
Йираскова 69	ru	0	2665590	На Їрасковій
Навести	ru	0	2697236	Навесті (річка)
Нариш	ru	0	2691923	Наріш
Национальный исторический музей Республики Беларусь	ru	0	2692626	Національний історичний музей Республіки Білорусь
Новопеределкино (станция метро)	ru	0	2686677	Новопередєлкіно (станція метро)
Новокрестовская (станция метро)	ru	0	2687481	Новохрестовська (станція метро)
Норвежская школа менеджмента	ru	0	2688746	Норвезька бізнес школа BI
Носа-Сеньора-ди-Фатима (Авейру)	ru	0	2690887	Носса-Сеньора-де-Фатіма (Авейру)
Аэропорт Ню-Олесунн	ru	0	2689163	Ню-Олесунн-Хамнераббен
Окружная (станция метро)	ru	0	2670872	Окружна (станція метро)
Оливейринья	ru	0	2690726	Олівейріня
Операция «Фруктовый сад»	ru	0	2684671	Операція «Поза межами»
Остров Купреянова	ru	0	2677167	Острів Купреянова
Отепяский район	ru	0	2696958	Отепяський район
Очаково (станция метро)	ru	0	2687092	Очаково (станція метро)
Памятник Арминию	ru	0	2685234	Пам'ятник Армінію
